,r_Einstein_t_true,gamma1_true,gamma2_true,ex_true,ey_true,r_Einstein_t_pred,gamma1_pred,gamma2_pred,ex_pred,ey_pred,r_Einstein_t_aleatoric,gamma1_aleatoric,gamma2_aleatoric,ex_aleatoric,ey_aleatoric,r_Einstein_t_epistemic,gamma1_epistemic,gamma2_epistemic,ex_epistemic,ey_epistemic,Paths
0,0.89599127,0.42190757,0.407725,0.38482133,0.50679135,0.987919,0.45502788,0.5046274,0.27576002,0.557657,-5.5593467,-3.6454139,-3.6378622,-6.0,-6.0,0.04730707,0.009593329,0.008322848,0.034018006,0.019331295,final_hscsearch_2e3_3/lens_4865_source_989_r_1.fits
1,0.006784928,0.49822438,0.4969695,0.4669429,0.43586364,0.20066991,0.49253803,0.48968428,0.42147163,0.4219116,-3.889698,-3.293061,-3.3966153,-6.0,-6.0,0.05146595,0.0027979382,0.005531941,0.01284563,0.013920052,final_hscsearch_2e3_26/lens_51981_source_1123_r_0.fits
2,0.17761199,0.5121398,0.6391507,0.61212665,0.51479036,0.23292026,0.51268625,0.5104983,0.5591399,0.5647238,-6.0,-3.5668073,-3.5582757,-6.0,-6.0,0.034460824,0.007249148,0.006558541,0.023522494,0.017519757,final_hscsearch_2e3_22/lens_43478_source_1268_r_0.fits
3,0.08587092,0.54340005,0.48055384,0.5054545,0.49903455,0.045568675,0.5077174,0.5084058,0.5292696,0.5427418,-5.5421557,-3.508366,-3.525289,-6.0,-6.0,0.05209368,0.0039797304,0.008346898,0.016120832,0.013383443,final_hscsearch_2e3_24/lens_47293_source_50_r_0.fits
4,0.77904516,0.92042804,0.6393566,0.7217077,0.53907925,0.7867317,0.5117714,0.51303726,0.5245438,0.6206118,-5.4234967,-3.5276892,-3.5309181,-5.74652,-6.0,0.037276957,0.006797793,0.008194653,0.021076772,0.022528466,final_hscsearch_2e3_6/lens_10952_source_385_r_0.fits
5,0.23611088,0.39993545,0.26176035,0.498787,0.5191281,0.29664907,0.51122594,0.5057661,0.53005755,0.50187594,-6.0,-3.5245862,-3.5358913,-6.0,-6.0,0.03235345,0.0031829397,0.0054492787,0.009867146,0.011650115,final_hscsearch_2e3_20/lens_39603_source_1599_r_1.fits
6,0.8031297,0.43450782,0.47913712,0.39312568,0.4777221,0.89208686,0.4779334,0.50838476,0.41509014,0.4642123,-5.0518274,-3.5043502,-3.5286663,-6.0,-6.0,0.049837932,0.0062920526,0.0068850094,0.018272206,0.015081574,final_hscsearch_2e3_5/lens_9463_source_2312_r_1.fits
7,0.11391807,0.43753392,0.51862943,0.520403,0.43621406,0.06894848,0.49842802,0.5008898,0.4111546,0.46316856,-5.3950143,-3.513383,-3.5138977,-6.0,-6.0,0.05459657,0.005287674,0.008841451,0.02019752,0.01758346,final_hscsearch_2e3_24/lens_47538_source_1436_r_0.fits
8,0.7012475,0.30886087,0.57068765,0.48267454,0.4733424,0.70567834,0.4894034,0.49822363,0.45408997,0.43643907,-3.8927467,-3.275711,-3.410967,-6.0,-6.0,0.03826348,0.004151109,0.0060675903,0.017149875,0.014281089,final_hscsearch_2e3_9/lens_16439_source_1775_r_3.fits
9,0.68686354,0.56811094,0.4589837,0.48186186,0.4361264,0.70003426,0.48157418,0.47371614,0.44257808,0.42500642,-6.0,-3.670327,-3.7055588,-6.0,-6.0,0.029140526,0.005325183,0.0056941262,0.013358294,0.017251734,final_hscsearch_2e3_8/lens_15728_source_7147_r_2.fits
