location,r_Einstein,gamma1,gamma2,ex,ey
final_hscsearch_2e3_5/lens_9581_source_1843_r_0.fits,0.8208272082254978,0.3044371979310346,0.31203761145315534,0.4922414954422362,0.481209741063991
final_hscsearch_2e3_5/lens_8132_source_426_r_2.fits,0.839741835326449,0.3131193394469235,0.6410256730700913,0.3878171237607443,0.5621786819016638
final_hscsearch_2e3_9/lens_17375_source_1478_r_0.fits,0.6820937800463533,0.8397862405719322,0.1894693489119025,0.3785439985252442,0.5255482505126807
final_hscsearch_2e3_4/lens_6189_source_1343_r_2.fits,0.8654550592585932,0.3327581534417153,0.05876794009910761,0.931635495143032,0.5742644191849996
final_hscsearch_2e3_5/lens_9520_source_19_r_3.fits,0.8095690578267059,0.390407473339084,0.42639247322175744,0.4822802073727892,0.5278034510838195
final_hscsearch_2e3_13/lens_25229_source_969_r_2.fits,0.5188037091378309,0.5677879670777851,0.4740550578045809,0.5998674336353174,0.5395671924054678
final_hscsearch_2e3_18/lens_35336_source_7213_r_0.fits,0.31434270752222315,0.622499552702235,0.4040473171556304,0.6555419924209771,0.5116848698846306
final_hscsearch_2e3_8/lens_14159_source_1011_r_3.fits,0.7177055835874055,0.3992471914684906,0.38285631064071957,0.5550170092634357,0.5485207875919137
final_hscsearch_2e3_9/lens_16405_source_6332_r_0.fits,0.6973741895145575,0.5265834641845177,0.28139749808855946,0.37801276085047275,0.3283716434121357
final_hscsearch_2e3_18/lens_34226_source_1990_r_3.fits,0.3594789754115162,0.5680974034303164,0.4499764387634733,0.465008746283123,0.5547397948713404
final_hscsearch_2e3_20/lens_38143_source_2069_r_0.fits,0.263015834387835,0.6814906789018605,0.8286134455293016,0.6238534415062956,0.45953902254602297
final_hscsearch_2e3_2/lens_2655_source_1340_r_0.fits,0.967033152722012,0.5008782844948676,0.509269326057496,0.5298438101758294,0.4007119913699427
final_hscsearch_2e3_24/lens_47989_source_1190_r_0.fits,0.11276752729824792,0.04993783080754579,0.6072001019193575,0.5567653136569292,0.519167688131067
final_hscsearch_2e3_3/lens_4288_source_1618_r_1.fits,0.916113504517447,0.47451185133897433,0.44319047177831944,0.4203276918275104,0.4258588188520666
final_hscsearch_2e3_7/lens_13987_source_149_r_0.fits,0.7272957358277673,0.4544380522795994,0.4232626163836025,0.49289139735517695,0.44362317996107314
final_hscsearch_2e3_23/lens_44225_source_3858_r_0.fits,0.1599020557241561,0.5332548978929882,0.7332185746324432,0.5246907526185648,0.4700904008077319
final_hscsearch_2e3_19/lens_37748_source_899_r_0.fits,0.26249029124954193,0.5932032318901566,0.46236554236829647,0.5814052219818687,0.5076327535994016
final_hscsearch_2e3_24/lens_46361_source_2069_r_0.fits,0.11461414852165554,0.4234348776705715,0.4219977155866132,0.4352515642222655,0.5017019649975959
final_hscsearch_2e3_24/lens_46987_source_7155_r_3.fits,0.10173488723323272,0.4535019251586973,0.21122463067667538,0.45412765920408377,0.4578284978194322
final_hscsearch_2e3_16/lens_31771_source_24_r_1.fits,0.3763189394427809,0.49969494654342783,0.4990989230425462,0.49082520649379136,0.5133252767866137
final_hscsearch_2e3_7/lens_12689_source_2191_r_0.fits,0.7660812903065507,0.5464872092711184,0.5575878184263253,0.7205699847606014,0.5968205769050482
final_hscsearch_2e3_19/lens_37550_source_7141_r_1.fits,0.28178807962535996,0.1603293520188191,0.7776398165765067,0.4750289620370765,0.5930914266558563
final_hscsearch_2e3_11/lens_21847_source_7229_r_1.fits,0.5813371081022927,0.7298279140491135,0.44612645877266904,0.31904255258566444,0.3900601699976482
final_hscsearch_2e3_19/lens_36945_source_2995_r_1.fits,0.3029553242673795,0.5189006327820648,0.47409497677654877,0.47664723394286945,0.38342513738610356
final_hscsearch_2e3_7/lens_13364_source_1395_r_3.fits,0.760539369425265,0.5009194260193011,0.452009492160699,0.541807303444193,0.41926982441660066
